student_id,position,party_name,achievements,previous_position,previous_school_projects,average_grade,title,tagline,agenda
23-0029,Chairperson,Progressive Alliance,Dean's List 2025,Batch Representative,Campus Clean-up Drive,94.5,The Visionary Leader,Empowering Every Voice,Digitalizing campus services and expanding student scholarships
23-0025,Chairperson,United Students,Leadership Award 2024,Sports Committee Head,Intramural Games 2025,91.2,The Action-Oriented Pioneer,Action Speaks Louder,Upgrading sports facilities and establishing a wellness center
23-0002,Chairperson,Forward Movement,Best Debater 2025,PRO,Inter-school Debate Cup,95.0,The Voice of Reason,Transparency and Progress,Live-streaming student council meetings and open budget auditing
23-0006,Chairperson,Progressive Alliance,Community Service Award,Secretary,Adopt-a-Community Program,92.8,The Servant Leader,Service Above Self,Expanding student outreach programs and local community partnerships
23-0003,Chairperson,United Students,Academic Excellence,Treasurer,Fundraising Gala 2025,96.1,The Catalyst for Change,A Smarter Campus for All,Securing corporate sponsorships for student tech and research grants
23-0007,Chairperson,Forward Movement,Outstanding Student 2025,Vice President,Mental Health Week,93.4,The Empathetic Advocate,Inclusivity in Every Action,Establishing 24/7 student counseling services and peer support networks
23-0011,Chairperson,Progressive Alliance,Top 10 Batch Rank,Auditor,Financial Transparency App,94.2,The Analytical Innovator,Precision and Purpose,Automating student organization liquidations and fund requests
23-0015,Chairperson,United Students,Youth Leadership Delegate,Grade Representative,Eco-Brick Initiative,90.5,The Eco-Warrior,Green Campus Green Future,Banning single-use plastics and installing solar-powered charging stations
23-0008,Vice Chairperson,Progressive Alliance,Math Olympiad Finalist,Treasurer,STEM Fair 2025,92.1,The Strategic Mind,Bridging Ideas into Reality,Creating cross-department academic mentoring programs
23-0009,Vice Chairperson,United Students,Best Organizer 2024,Logistics Head,Cultural Night Festival,89.7,The Builder of Bridges,Unity in Diversity,Expanding cultural festivals and supporting minority student circles
23-0014,Vice Chairperson,Forward Movement,Perfect Attendance Award,Class President,Food Drive 2025,91.0,The Dedicated Partner,Reliable Leadership,Setting up a 24/7 student grievance and feedback desk
23-0019,Vice Chairperson,Progressive Alliance,Science Fair 1st Place,Club President,Tech Expo 2025,93.5,The Tech Pioneer,Innovating Student Life,Developing a unified mobile app for campus events and room bookings
23-0012,Vice Chairperson,United Students,Model United Nations Delegate,PRO,Model UN Conference,91.8,The Global Thinker,Broadening Our Horizons,Securing international student exchange opportunities and webinars
23-0022,Vice Chairperson,Forward Movement,Volunteering Milestone,Secretary,Blood Donation Drive,90.2,The Heart of the Council,Compassion in Action,Partnering with local clinics for free annual medical checkups
23-0020,Vice Chairperson,Progressive Alliance,Best Researcher 2025,Committee Member,Research Symposium,94.0,The Academic Ally,Elevating Your Standards,Providing free thesis formatting workshops and database access
23-0031,Vice Chairperson,United Students,Varsity Captain,Sports Coordinator,Regional Meet 2025,88.9,The Team Player,Stronger Together,Upgrading the campus gym equipment and expanding intramural divisions
23-0016,Secretary,Progressive Alliance,Journalism Award,Editor-in-Chief,Campus Newspaper Digitalization,93.1,The Detail-Oriented Archivist,Clarity and Connection,Publishing monthly digital summaries of council minutes and memos
23-0018,Secretary,United Students,Spelling Bee Champion,Class Secretary,Yearbook Committee,91.5,The Organized Mind,Efficiency in Motion,Transitioning all student document submissions to a paperless system
